Timestamp,Filename,Accuracy %,Status
2025-05-26 22:01:23,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 22:01:23,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-26 22:01:23,3_DHL eCommerce Tracking Status Update.json,74.1,Has Differences
2025-05-26 22:01:23,4_DHL eCommerce Tracking Status Update (1).json,81.5,Has Differences
2025-05-26 22:02:32,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 22:02:32,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-26 22:02:32,3_DHL eCommerce Tracking Status Update.json,74.1,Has Differences
2025-05-26 22:02:32,4_DHL eCommerce Tracking Status Update (1).json,85.2,Has Differences
2025-05-26 22:03:10,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 22:03:10,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-26 22:03:10,3_DHL eCommerce Tracking Status Update.json,81.5,Has Differences
2025-05-26 22:03:10,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 22:04:49,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 22:04:49,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-26 22:04:49,3_DHL eCommerce Tracking Status Update.json,77.8,Has Differences
2025-05-26 22:04:49,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 22:08:38,1_Your Forever 21 Order #8138161489.json,81.5,Has Differences
2025-05-26 22:08:38,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-26 22:08:38,3_DHL eCommerce Tracking Status Update.json,77.8,Has Differences
2025-05-26 22:08:38,4_DHL eCommerce Tracking Status Update (1).json,77.8,Has Differences
2025-05-26 22:12:37,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 22:12:37,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-26 22:12:37,3_DHL eCommerce Tracking Status Update.json,85.2,Has Differences
2025-05-26 22:12:37,4_DHL eCommerce Tracking Status Update (1).json,85.2,Has Differences
2025-05-26 22:16:22,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 22:16:22,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-26 22:16:22,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 22:16:22,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 22:25:56,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 22:25:56,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-26 22:25:56,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 22:25:56,4_DHL eCommerce Tracking Status Update (1).json,88.9,Has Differences
2025-05-26 22:30:11,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 22:30:11,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-26 22:30:11,3_DHL eCommerce Tracking Status Update.json,85.2,Has Differences
2025-05-26 22:30:11,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 22:37:04,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 22:37:04,2_Forever 21 Credit Notification.json,92.6,Has Differences
2025-05-26 22:37:04,3_DHL eCommerce Tracking Status Update.json,96.3,Has Differences
2025-05-26 22:37:04,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 22:39:23,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 22:39:23,2_Forever 21 Credit Notification.json,86.7,Has Differences
2025-05-26 22:39:23,3_DHL eCommerce Tracking Status Update.json,96.3,Has Differences
2025-05-26 22:39:23,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 22:43:35,1_Your Forever 21 Order #8138161489.json,81.5,Has Differences
2025-05-26 22:43:35,2_Forever 21 Credit Notification.json,92.6,Has Differences
2025-05-26 22:43:35,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 22:43:35,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 22:49:06,1_Your Forever 21 Order #8138161489.json,70.4,Has Differences
2025-05-26 22:49:06,2_Forever 21 Credit Notification.json,93.3,Has Differences
2025-05-26 22:49:06,3_DHL eCommerce Tracking Status Update.json,73.3,Has Differences
2025-05-26 22:49:06,4_DHL eCommerce Tracking Status Update (1).json,86.7,Has Differences
2025-05-26 22:53:43,1_Your Forever 21 Order #8138161489.json,59.3,Has Differences
2025-05-26 22:53:43,2_Forever 21 Credit Notification.json,93.3,Has Differences
2025-05-26 22:53:43,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 22:53:43,4_DHL eCommerce Tracking Status Update (1).json,86.7,Has Differences
2025-05-26 22:54:38,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 22:54:38,2_Forever 21 Credit Notification.json,93.3,Has Differences
2025-05-26 22:54:38,3_DHL eCommerce Tracking Status Update.json,73.3,Has Differences
2025-05-26 22:54:38,4_DHL eCommerce Tracking Status Update (1).json,86.7,Has Differences
2025-05-26 22:54:55,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 22:54:55,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-26 22:54:55,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 22:54:55,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 22:57:26,1_Your Forever 21 Order #8138161489.json,81.5,Has Differences
2025-05-26 22:57:26,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-26 22:57:26,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 22:57:26,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 22:59:48,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 22:59:48,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-26 22:59:48,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 22:59:48,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 23:00:01,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 23:00:01,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-26 23:00:01,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 23:00:01,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 23:00:26,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 23:00:26,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-26 23:00:26,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 23:00:26,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 23:02:18,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 23:02:18,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-26 23:02:18,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 23:02:18,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 23:05:31,1_Your Forever 21 Order #8138161489.json,81.5,Has Differences
2025-05-26 23:05:31,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-26 23:05:31,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 23:05:31,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 23:09:43,1_Your Forever 21 Order #8138161489.json,70.4,Has Differences
